q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,variant,lambda_per_node,M,selected
0.0125,fine,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,1
0.0171875,fine,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.021875,fine,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.025,coarse,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.0265625,fine,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.03125,fine,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.0359375,fine,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.040625,fine,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.0453125,fine,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.05,coarse,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.1,coarse,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.2,coarse,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.4,coarse,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.6,coarse,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.8,coarse,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
1,coarse,2,612.659038901602,2.08009153318079,10.3695652173913,602.289473684211,1,unslotted,1,2,0
0.025,coarse,2,9720.9885583524,613.379862700229,177.899313501144,9543.08924485126,1,batch_clear,1,2,0
0.05,coarse,2,4675.38672768879,687.439359267735,228.41876430206,4446.96796338673,1,batch_clear,1,2,0
0.1,coarse,2,3134.43020594966,136.482837528604,114.919908466819,3019.51029748284,1,batch_clear,1,2,0
0.2,coarse,2,1303.94965675057,47.4713958810068,11.3478260869565,1292.60183066362,1,batch_clear,1,2,0
0.4,coarse,2,1065.85125858124,27.0617848970251,32.8695652173913,1032.98169336384,1,batch_clear,1,2,0
0.6,coarse,2,902.512585812357,9.61784897025171,24.2608695652174,878.25171624714,1,batch_clear,1,2,0
0.8,coarse,2,790.146453089245,1.46224256292902,11.3478260869565,778.798627002288,1,batch_clear,1,2,0
0.825,fine,2,785.842105263158,2.84210526315792,11.3478260869565,774.494279176201,1,batch_clear,1,2,0
0.85,fine,2,760.695652173913,13.6956521739131,15.6521739130435,745.04347826087,1,batch_clear,1,2,0
0.875,fine,2,756.391304347826,9.39130434782606,11.3478260869565,745.04347826087,1,batch_clear,1,2,0
0.9,fine,2,743.478260869565,3.52173913043481,11.3478260869565,732.130434782609,1,batch_clear,1,2,0
0.925,fine,2,743.478260869565,3.52173913043481,11.3478260869565,732.130434782609,1,batch_clear,1,2,0
0.95,fine,2,739.173913043478,7.82608695652175,11.3478260869565,727.826086956522,1,batch_clear,1,2,0
0.975,fine,2,721.050343249428,15.5286041189931,11.3478260869565,709.702517162471,1,batch_clear,1,2,0
1,coarse,2,715.839816933638,10.3180778032037,11.3478260869565,704.491990846682,1,batch_clear,1,2,1
0.025,coarse,2,8408.61556064073,445.963386727689,165.212814645309,8243.40274599542,1,baseline,1,3,0
