variant,lambda_per_node,M,Tp_us,best_q,n_eval_runs,mean_total_delay_us,ci95_total_delay_us,mean_queue_delay_us,ci95_queue_delay_us,mean_access_delay_us,ci95_access_delay_us,p95_total_delay_us_mean,completion_ratio_mean,stable_fraction,final_backlog_mean,mean_attempts,delay_identity_error_us
baseline,5,3,594,0.85,3,1155.9001183899,259.392232044199,4.12707182320442,8.08906077348066,1151.77304656669,251.303171270718,2590.425,0.285933601995778,0,295,1.68577348066298,0
fast_first,5,3,594,0.8,3,1046.33136078538,20.0545889841709,1.29326424870466,2.26613732083815,1045.03809653668,21.0612322926208,1962.6,0.806475349521707,0.666666666666667,87.6666666666667,1.35328379238251,0
unslotted,5,3,594,0.2,3,1017.92441912153,27.8235065067765,1.91712620511908,1.89984755206764,1016.00729291641,29.0827686217235,2301.07812969952,1,1,0,1.13937067665064,1.13686837721616e-13
batch_clear,5,3,594,0.825,3,1069.9788961039,42.6713636363637,1.8,3.528,1068.1788961039,39.1433636363638,1610.1,0.399827288428325,0.333333333333333,256,1.37532467532468,2.27373675443232e-13
baseline,5,4,792,0.9,3,1263.72067320237,101.837843217654,1.42227979274611,2.78766839378238,1262.29839340962,99.0501748238715,2083.5,0.462037037037037,0.333333333333333,228.333333333333,1.21012412867633,0
fast_first,5,4,792,0.45,3,1272.18274199636,16.620070861616,3.20682210708117,3.31773886857631,1268.97591988928,13.7617630103649,2041.8,1,1,0,1.14938521543195,2.27373675443232e-13
unslotted,5,4,792,0.45,3,1277.09068483003,25.5718978888983,2.71759596821407,2.88213420874847,1274.37308886181,25.1436601487671,2757.95704744189,1,1,0,1.23213029366051,0
batch_clear,5,4,792,0.85,3,1283.21813451449,107.820270921132,2.59271523178808,5.08172185430464,1280.6254192827,102.738549066827,2152.35,0.346123584724621,0,275.666666666667,1.28461770018061,0
baseline,5,5,990,0.75,3,1785.81101036269,366.443580310881,11.4697538860104,0.87171761658031,1774.34125647668,365.5718626943,2882.7,0.666666666666667,0.666666666666667,153.333333333333,1.88757915947035,2.27373675443232e-13
fast_first,5,5,990,0.6,3,1548.94135298356,34.2761607045777,3.88353549737501,5.43650592800058,1545.05781748619,37.6966464385999,2846.4,1,1,0,1.2260934586922,0
unslotted,5,5,990,0.4,3,1690.97587067004,208.257930661918,9.97213930297987,3.111738525455,1681.00373136706,205.146192136462,4488.41840005739,0.666666666666667,0.666666666666667,122,1.37682004826774,0
batch_clear,5,5,990,0.875,3,1423.63636363636,0,0,0,1423.63636363636,0,2059.2,0.0664939550949914,0,376.666666666667,1.05194805194805,0
baseline,5,6,1188,0.75,3,1768.73076923077,0,0,0,1768.73076923077,0,3043.8,0.0673575129533679,0,378,1.29487179487179,0
fast_first,5,6,1188,0.35,3,1863.82033192648,82.6588818734911,10.1670678493406,8.74191391229656,1853.65326407714,91.0543220429622,3789.6,1,1,0,1.15398119871235,2.27373675443232e-13
unslotted,5,6,1188,0.4,3,2029.28694980332,235.426202578464,19.9481212012952,21.4774129854409,2009.33882860203,228.662581775846,5183.07864493986,1,1,0,1.39776421756829,2.27373675443232e-13
batch_clear,5,6,1188,0.6,3,2004.02303125965,70.7299570952491,8.48219269349987,8.85247051669976,1995.54083856615,74.0496454850966,3592.2,1,1,0,1.22733049420419,2.27373675443232e-13
