q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.05,coarse,3,5111.7821894498,546.941329682721,68.0249574588769,5043.75723199092,1,1,baseline,1,4,0
0.1,coarse,3,3238.02609188883,344.475870747779,45.2093023255814,3192.81678956324,1,1,baseline,1,4,0
0.2,coarse,3,1978.74758933636,74.4455213019326,24.2229154849688,1954.52467385139,1,1,baseline,1,4,0
0.3,coarse,3,1594.35280771412,66.4562502442156,8.85876347135564,1585.49404424277,1,1,baseline,1,4,0
0.4,coarse,3,1415.25808281339,34.6548347211902,13.5382870107771,1401.71979580261,1,1,baseline,1,4,0
0.5,coarse,3,1309.38854225752,16.0868284006388,10.4685195689166,1298.9200226886,1,1,baseline,1,4,0
0.6,coarse,3,1234.66591038003,14.4405558518486,10.3936471922859,1224.27226318775,1,1,baseline,1,4,0
0.65,fine,3,1205.12875779921,9.88906785727991,8.85876347135564,1196.26999432785,1,1,baseline,1,4,0
0.7,coarse,3,1192.6999432785,11.08201322111,10.3936471922859,1182.30629608622,1,1,baseline,1,4,1
0.01,coarse,3,1439.59160521838,287.245839482759,8.85876347135564,1430.73284174702,1,1,fast_first,1,4,0
0.025,coarse,3,1232.3823028928,82.9220942226959,8.85876347135564,1223.52353942144,1,1,fast_first,1,4,0
0.05,coarse,3,1180.19625638117,36.9364813780374,8.85876347135564,1171.33749290981,1,1,fast_first,1,4,0
0.1,coarse,3,1146.05445263755,19.1094743083942,8.85876347135564,1137.19568916619,1,1,fast_first,1,4,0
0.2,coarse,3,1132.24049914918,20.6786151167057,8.85876347135564,1123.38173567782,1,1,fast_first,1,4,0
0.3,coarse,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.4,coarse,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.425,fine,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.45,fine,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.475,fine,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.5,coarse,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,1
0.525,fine,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.55,fine,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.575,fine,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.6,coarse,3,1114.60805445264,5.30572887124223,8.85876347135564,1105.74929098128,1,1,fast_first,1,4,0
0.01,coarse,3,1554.94856487135,277.927912525995,7.16732841747022,1547.78123645388,1,1,unslotted,1,4,0
0.025,coarse,3,1227.30046962409,112.071603023745,7.16732841747022,1220.13314120662,1,1,unslotted,1,4,0
