protocol,load_mode,lambda_base,M,best_q,q,tuning_stable_fraction,mean_delay_us,mean_p95_us,mean_collision_waste_us,rate_screen_rejected_fraction,mean_arrival_rate_pkt_s,mean_goodput_pkt_s,mean_completion_ratio,mean_backlog_slope_pkt_s,mean_final_backlog
s7_busy,fixed_packet,15,3,0.2,0.5,0,NaN,NaN,643230,1,587.666666666667,57,0.0920687742651137,600.897652897653,582.666666666667
sf_cb,fixed_packet,15,4,0.2,0.005,1,250505.130486871,624864.666666667,9626.66666666667,0,587.666666666667,477.666666666667,1,99.987783987784,0
sf_cb,fixed_packet,15,4,0.2,0.01,1,91762.7553751963,245797.5,15580,0,587.666666666667,556.333333333333,1,30.5298265298265,0
sf_cb,fixed_packet,15,4,0.2,0.025,1,23472.6505294453,67264.4166666666,16720,0,587.666666666667,588.666666666667,1,17.8392178392178,0
sf_cb,fixed_packet,15,4,0.2,0.05,1,11621.0368558977,34234.8333333333,21216.6666666667,0,587.666666666667,586.666666666667,1,5.97076597076597,0
sf_cb,fixed_packet,15,4,0.2,0.1,1,6500.7783965757,18038.4166666667,27803.3333333333,0,587.666666666667,586.333333333333,1,4.63361663361663,0
sf_cb,fixed_packet,15,4,0.2,0.2,1,4273.83071306239,12725.75,38126.6666666667,0,587.666666666667,587,1,3.94878394878395,0
sf_cb,fixed_packet,15,4,0.2,0.5,0,NaN,NaN,1057856.66666667,1,587.666666666667,3.33333333333333,0.00499168053244592,600.897652897653,625
sb_cf,fixed_packet,15,4,NaN,0.0001,0,NaN,NaN,213543.333333333,1,587.666666666667,306.666666666667,0.391384782303218,292.105724105724,359
sb_cf,fixed_packet,15,4,NaN,0.0002,0,NaN,NaN,519968.333333333,1,587.666666666667,284,0.370093638409884,317.708133708134,374
sb_cf,fixed_packet,15,4,NaN,0.0005,0,NaN,NaN,1013356.66666667,1,587.666666666667,81.3333333333333,0.0713805550891535,525.066389066389,588
sb_cf,fixed_packet,15,4,NaN,0.001,0,NaN,NaN,1146820,1,587.666666666667,15.6666666666667,0.00798939973407416,585.293741293741,674.333333333333
sb_cf,fixed_packet,15,4,NaN,0.002,0,NaN,NaN,1174138.33333333,1,587.666666666667,1.66666666666667,0,599.192823192823,697.666666666667
sb_cf,fixed_packet,15,4,NaN,0.005,0,NaN,NaN,1193696.66666667,1,587.666666666667,0,0,600.897652897653,707.333333333333
sb_cf,fixed_packet,15,4,NaN,0.01,0,NaN,NaN,1195591.66666667,1,587.666666666667,0,0,600.897652897653,708.666666666667
sf_cf,fixed_packet,15,5,NaN,0.005,0,NaN,NaN,17733.3333333333,1,587.666666666667,181.333333333333,0.151598400277732,421.767745767746,510
sf_cf,fixed_packet,15,5,NaN,0.01,0,NaN,NaN,59533.3333333333,1,587.666666666667,280,0.33728313565287,324.144732144732,394.666666666667
sf_cf,fixed_packet,15,5,NaN,0.025,0,NaN,NaN,215333.333333333,1,587.666666666667,402,0.577127418978448,197.752305752306,248.333333333333
sf_cf,fixed_packet,15,5,NaN,0.05,0,NaN,NaN,563033.333333333,1,587.666666666667,328.333333333333,0.457858579862563,289.923493923494,318.666666666667
sf_cf,fixed_packet,15,5,NaN,0.1,0,NaN,NaN,1007633.33333333,1,587.666666666667,71.6666666666667,0.056124878341725,546.710778710779,584.666666666667
sf_cf,fixed_packet,15,5,NaN,0.2,0,NaN,NaN,1147283.33333333,1,587.666666666667,0.333333333333333,0,600.897652897653,683
sf_cf,fixed_packet,15,5,NaN,0.5,0,NaN,NaN,1163116.66666667,1,587.666666666667,0,0,600.897652897653,692.666666666667
sb_cf,fixed_packet,15,5,NaN,0.0001,0,NaN,NaN,308283.333333333,1,587.666666666667,244,0.281597432713721,363.960415960416,427.666666666667
sb_cf,fixed_packet,15,5,NaN,0.0002,0,NaN,NaN,678233.333333333,1,587.666666666667,182.333333333333,0.199438094881306,425.602253602254,483.333333333333
sb_cf,fixed_packet,15,5,NaN,0.0005,0,NaN,NaN,1085786.66666667,1,587.666666666667,39.6666666666667,0.0245377951258237,567.888007888008,646.333333333333
sb_cf,fixed_packet,15,5,NaN,0.001,0,NaN,NaN,1167103.33333333,1,587.666666666667,5,0.000585823081429408,595.473231473232,691
sb_cf,fixed_packet,15,5,NaN,0.002,0,NaN,NaN,1181436.66666667,1,587.666666666667,0.333333333333333,0,600.101956101956,702.666666666667
sb_cf,fixed_packet,15,5,NaN,0.005,0,NaN,NaN,1196006.66666667,1,587.666666666667,0,0,600.897652897653,708.333333333333
sb_cf,fixed_packet,15,5,NaN,0.01,0,NaN,NaN,1197018.33333333,1,587.666666666667,0,0,600.897652897653,710.333333333333
