q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.275,fine,3,1358.96859821013,33.6208024849695,1.17857142857143,1357.79002678156,1,1,sb_cb,3,5,0
0.3,coarse,3,1363.07394454055,40.5135208939441,1.17857142857143,1361.89537311198,1,1,sb_cb,3,5,0
0.325,fine,3,1357.33043615676,39.9503789920216,1.17857142857143,1356.15186472819,1,1,sb_cb,3,5,0
0.35,fine,3,1357.90358639963,39.3981338624927,1.17857142857143,1356.72501497106,1,1,sb_cb,3,5,0
0.375,fine,3,1350.7130713953,34.6254049713618,1.17857142857143,1349.53449996673,1,1,sb_cb,3,5,0
0.4,coarse,3,1347.68939217513,34.2885040136731,1.17857142857143,1346.51082074656,1,1,sb_cb,3,5,0
0.5,coarse,3,1340.3701635172,32.8842271482776,1.17857142857143,1339.19159208863,1,1,sb_cb,3,5,0
0.6,coarse,3,1347.60968793666,34.9087044148875,1.125,1346.48468793666,1,1,sb_cb,3,5,0
0.7,coarse,3,1342.46873960343,37.2583992826485,1.125,1341.34373960343,1,1,sb_cb,3,5,0
0.8,coarse,3,1394.43166960543,69.9157740535762,1.125,1393.30666960543,1,1,sb_cb,3,5,0
0.9,coarse,3,1340.52267699115,25.4467758549893,1.125,1339.39767699115,1,1,sb_cb,3,5,0
0.95,coarse,3,1351.30851187704,38.5450356340847,1.125,1350.18351187704,1,1,sb_cb,3,5,0
0.975,coarse,3,1464.53761893672,151.316313252685,1.125,1463.41261893672,1,1,sb_cb,3,5,0
1,coarse,3,3828.0958510516,1272.18223028002,1.125,3826.9708510516,0.795321637426901,0.385964912280702,sb_cb,3,5,0
0.01,coarse,3,2631.96161171735,29.2232411341734,2.14285714285714,2629.81875457449,1,1,sb_cb,3,6,0
0.025,coarse,3,2022.13457315856,68.2292878648942,2.14285714285714,2019.9917160157,1,1,sb_cb,3,6,0
0.05,coarse,3,1800.85252262293,70.6903827902763,2.14285714285714,1798.70966548007,1,1,sb_cb,3,6,0
0.1,coarse,3,1837.9947268614,224.098241037341,1.71428571428571,1836.28044114712,1,1,sb_cb,3,6,0
0.125,fine,3,1673.66043565773,90.1836081477761,1.71428571428571,1671.94614994344,1,1,sb_cb,3,6,1
0.15,fine,3,1617.40702142524,43.3835128951796,1.71428571428571,1615.69273571096,1,1,sb_cb,3,6,0
