protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sb_cf,saturation_throughput,2,396,396,44,2,0,0.000281060958371934,maximum_effective_payload_throughput,0,3,0.19536,0.00206976,0.19536,0.00206976,493.333333333333,5.22666666666667,986.666666666667,10.4533333333333,NaN,0.922303378730147,0.191731,NaN,NaN,60.6514817,0
sb_cb,saturation_throughput,2,396,396,44,2,0,0.00144224957030741,maximum_effective_payload_throughput,0,3,0.454900666666667,0.00428784234544342,0.454900666666667,0.00428784234544342,1149,11.1450317780316,2298,22.2900635560631,NaN,0.967448970596168,0.036327,NaN,NaN,241.2704767,0
s7_clean,saturation_throughput,2,396,396,44,2,0,0.009,maximum_effective_payload_throughput,0,3,0.619403333333333,0.00352046143228099,0.619403333333333,0.00352046143228099,1564.33333333333,8.78970104408816,3128.66666666667,17.5794020881763,NaN,0.978031198806691,0.020286,0,0,55.1598275,0
s7_busy,saturation_throughput,2,396,396,44,2,0,0.0292401773821287,maximum_effective_payload_throughput,0,3,0.301178333333333,0.003757121870392,0.301178333333333,0.003757121870392,760.666666666667,9.42250733321256,1521.33333333333,18.8450146664251,NaN,0.952669653260763,0.115269,1092.33333333333,0.432376666666667,157.0998913,0
sf_cf,saturation_throughput,3,594,594,66,3,0,0.025,fixed_theoretical_q,0,3,0.366102,0.0187768167766105,0.366102,0.0187768167766105,616.333333333333,31.6108026542264,1849,94.8324079626791,NaN,0.943315798402468,0.258310666666667,NaN,NaN,0.6031954,0
sf_cb,saturation_throughput,3,594,594,66,3,0,0.025,fixed_theoretical_q,0,3,0.526211333333333,0.00784885235117707,0.526211333333333,0.00784885235117707,886,13.0503231122196,2658,39.1509693366588,NaN,0.953674603674863,0.123552,NaN,NaN,0.8319145,0
sb_cf,saturation_throughput,3,594,594,66,3,0,0.000225016218181544,maximum_effective_payload_throughput,0,3,0.196586333333333,0.003784834321153,0.196586333333333,0.003784834321153,331,6.30051849718206,993,18.9015554915462,NaN,0.878301543821912,0.246400333333333,NaN,NaN,69.0971472,0
sb_cb,saturation_throughput,3,594,594,66,3,0,0.00144224957030741,maximum_effective_payload_throughput,0,3,0.540342,0.00712420178804614,0.540342,0.00712420178804614,909.666666666667,11.9936057037814,2729,35.9808171113442,NaN,0.966783761203933,0.050148,NaN,NaN,293.4186969,0
s7_clean,saturation_throughput,3,594,594,66,3,0,0.0104004191152595,maximum_effective_payload_throughput,0,3,0.709576,0.00139221960853886,0.709576,0.00139221960853886,1195.33333333333,2.35562683330314,3586,7.06688049990942,NaN,0.963783488438537,0.017766,0,0,67.7586671,0
s7_busy,saturation_throughput,3,594,594,66,3,0,0.0341995189335339,maximum_effective_payload_throughput,0,3,0.379566,0.00308028950639385,0.379566,0.00308028950639385,639,5.1856725696866,1917,15.5570177090598,NaN,0.938568909472661,0.110111333333333,865,0.513710333333333,150.9965724,0
sf_cf,saturation_throughput,4,792,792,88,4,0,0.025,fixed_theoretical_q,0,3,0.386232,0.00540223219997065,0.386232,0.00540223219997065,487.666666666667,6.82100025248823,1950.66666666667,27.2840010099529,NaN,0.928671929383595,0.252245333333333,NaN,NaN,0.43416,0
sf_cb,saturation_throughput,4,792,792,88,4,0,0.025,fixed_theoretical_q,0,3,0.595848,0.0106923689417827,0.595848,0.0106923689417827,752.333333333333,13.5004658355843,3009.33333333333,54.001863342337,NaN,0.949901103799495,0.107837333333333,NaN,NaN,0.6769278,0
sb_cf,saturation_throughput,4,792,792,88,4,0,0.000144224957030741,maximum_effective_payload_throughput,0,3,0.184643333333333,0.00988986410091554,0.184643333333333,0.00988986410091554,233.333333333333,12.0999026626021,933.333333333333,48.3996106504082,NaN,0.885280921814579,0.190208333333333,NaN,NaN,55.5853816,0
sb_cb,saturation_throughput,4,792,792,88,4,0,0.00121152765862859,maximum_effective_payload_throughput,0,3,0.587443666666667,0.0106653020344001,0.587443666666667,0.0106653020344001,742,13.7665875703942,2968,55.066350281577,NaN,0.956362764964081,0.050064,NaN,NaN,179.3623283,0
s7_clean,saturation_throughput,4,792,792,88,4,0,0.00866025403784439,maximum_effective_payload_throughput,0,3,0.765634,0.00247577328428915,0.765634,0.00247577328428915,967,2.99394945403782,3868,11.9757978161513,NaN,0.962913656502264,0.011319,0,0,48.5924001,0
s7_busy,saturation_throughput,4,792,792,88,4,0,0.0341995189335339,maximum_effective_payload_throughput,0,3,0.424985333333333,0.0113317396939472,0.424985333333333,0.0113317396939472,536.666666666667,14.3287186369814,2146.66666666667,57.3148745479256,NaN,0.926645145866861,0.0928246666666667,741.333333333333,0.587136,112.6760803,0
sf_cf,saturation_throughput,5,990,990,110,5,0,0.025,fixed_theoretical_q,0,3,0.364636666666667,0.00953949224737764,0.364636666666667,0.00953949224737764,368.333333333333,9.62420097693541,1841.66666666667,48.121004884677,NaN,0.905399682229456,0.26499,NaN,NaN,0.341583,0
sf_cb,saturation_throughput,5,990,990,110,5,0,0.025,fixed_theoretical_q,0,3,0.650086666666667,0.00643569706721636,0.650086666666667,0.00643569706721636,657,6.30051849718206,3285,31.5025924859103,NaN,0.944650289381447,0.09405,NaN,NaN,0.5768973,0
sb_cf,saturation_throughput,5,990,990,110,5,0,0.000115465892475565,maximum_effective_payload_throughput,0,3,0.18777,0.0079480114645111,0.18777,0.0079480114645111,189.666666666667,8.02829440859708,948.333333333333,40.1414720429854,NaN,0.852392785712294,0.201962333333333,NaN,NaN,53.5374098,0
sb_cb,saturation_throughput,5,990,990,110,5,0,0.00146779926762207,maximum_effective_payload_throughput,0,3,0.622834,0.00930652251685885,0.622834,0.00930652251685885,629.333333333333,9.42250733321256,3146.66666666667,47.1125366660628,NaN,0.931939879518768,0.076047,NaN,NaN,223.4539257,0
s7_clean,saturation_throughput,5,990,990,110,5,0,0.009,maximum_effective_payload_throughput,0,3,0.801334,0.00329004259546898,0.801334,0.00329004259546898,809.666666666667,3.26666666666667,4048.33333333333,16.3333333333333,NaN,0.957953132144861,0.010353,0,0,60.9905215,0
s7_busy,saturation_throughput,5,990,990,110,5,0,0.0447213595499958,maximum_effective_payload_throughput,0,3,0.459413333333333,0.0022430180778981,0.459413333333333,0.0022430180778981,464.333333333333,2.35562683330314,2321.66666666667,11.7781341665157,NaN,0.900407994665822,0.108948,611.333333333333,0.604735666666667,152.7746068,0
sf_cf,saturation_throughput,6,1188,1188,132,6,0,0.025,fixed_theoretical_q,0,3,0.370378666666667,0.0139183270217141,0.370378666666667,0.0139183270217141,312,11.9222145593845,1872,71.5332873563071,NaN,0.914463103266161,0.252113333333333,NaN,NaN,0.3802692,0
