condition_tag,phase,q,grid_stable_fraction,mean_delay_us,mean_goodput_pkt_s,mean_backlog_slope_pkt_s,rate_screen_rejected_fraction,run_index,run_stable,n_arrived,n_departures_window,n_censored,final_backlog,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,backlog_slope_pkt_s,completion_ratio,tuning_rate_screen_rejected,failure_reason
s7_busy_fixed_packet_lam10_M4,coarse,1,0,NaN,0,427.093699093699,1,1,0,430,0,430,520,430,0,1,427.093699093699,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M4,refined,0.1,1,15717.7285694027,423.333333333333,3.67601967601968,0,1,1,430,431,0,0,430,431,0.00232558139534884,0.946212946212948,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.1,1,15717.7285694027,423.333333333333,3.67601967601968,0,2,1,419,424,0,0,419,424,0.0119331742243437,9.5966255966256,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.1,1,15717.7285694027,423.333333333333,3.67601967601968,0,3,1,418,415,0,0,418,415,0.00717703349282297,0.485220485220486,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.2,1,10186.808963544,422,-4.11718411718412,0,1,1,430,432,0,0,430,432,0.00465116279069767,-18.9032349032349,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.2,1,10186.808963544,422,-4.11718411718412,0,2,1,419,420,0,0,419,420,0.00238663484486874,6.91570291570292,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.2,1,10186.808963544,422,-4.11718411718412,0,3,1,418,414,0,0,418,414,0.00956937799043062,-0.364020364020365,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.3,1,7021.61489778527,424.333333333333,-0.11976411976412,0,1,1,430,435,0,0,430,435,0.0116279069767442,-3.17424317424318,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.3,1,7021.61489778527,424.333333333333,-0.11976411976412,0,2,1,419,420,0,0,419,420,0.00238663484486874,5.21513321513322,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.3,1,7021.61489778527,424.333333333333,-0.11976411976412,0,3,1,418,418,0,0,418,418,0,-2.4001824001824,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.4,0.666666666666667,5685.57215002684,357.333333333333,137.757337757338,0.333333333333333,1,0,430,230,205,205,430,230,0.465116279069767,410.861726861727,0.523255813953488,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M4,refined,0.4,0.666666666666667,5685.57215002684,357.333333333333,137.757337757338,0.333333333333333,2,1,419,423,0,0,419,423,0.00954653937947494,3.5034995034995,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.4,0.666666666666667,5685.57215002684,357.333333333333,137.757337757338,0.333333333333333,3,1,418,419,0,0,418,419,0.00239234449760766,-1.09321309321309,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.5,0.666666666666667,5885.58368923502,351.666666666667,142.698518698519,0.333333333333333,1,0,430,219,215,215,430,219,0.490697674418605,423.856143856144,0.5,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M4,refined,0.5,0.666666666666667,5885.58368923502,351.666666666667,142.698518698519,0.333333333333333,2,1,419,419,0,0,419,419,0,3.56805956805957,1,0,stable
s7_busy_fixed_packet_lam10_M4,refined,0.5,0.666666666666667,5885.58368923502,351.666666666667,142.698518698519,0.333333333333333,3,1,418,417,0,0,418,417,0.00239234449760766,0.671352671352671,1,0,stable
