protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cf,fixed_packet,10,10,1,198,0.00707106781186547,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1298698,1234521,0.950583584482305,920,21380,0,216170,0.958744394618834,0,NaN,0,NaN,NaN,NaN,21380,0,0,141,NaN,NaN,141,7,14,0,148,309,NaN,NaN,NaN,NaN,123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278,NaN,NaN,NaN,NaN,NaN,NaN,55044,39654,55044
sb_cf,fixed_packet,15,15,1,198,0.005,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2317612,2197606,0.948219978149923,6286,117206,0,520445,0.949097917273994,0,NaN,0,NaN,NaN,NaN,117206,0,0,545,NaN,NaN,545,15,30,0,548,1157,NaN,NaN,NaN,NaN,416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,979,NaN,NaN,NaN,NaN,NaN,NaN,193842,137592,193842
sb_cf,fixed_packet,5,5,1,198,0.02,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,661526,628907,0.950691280463655,148,2895,0,41235,0.951363785737759,0,NaN,0,NaN,NaN,NaN,2895,0,0,50,NaN,NaN,50,2,4,0,52,106,NaN,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,18612,13302,18612
sb_cf,fixed_packet,5,5,2,396,0.00447213595499958,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1524340,1448517,0.950258472519254,1841,29364,0,182034,0.941003044383913,0,NaN,0,NaN,NaN,NaN,29364,0,0,140,NaN,NaN,140,2,4,0,140,302,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,NaN,NaN,NaN,NaN,NaN,NaN,95040,66969,95040
sb_cf,fixed_packet,5,5,3,594,0.00149534878122122,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2325600,2207061,0.949028637770898,5153,104290,0,570378,0.952916129857551,0,NaN,0,NaN,NaN,NaN,104290,0,0,133,NaN,NaN,133,3,6,0,134,279,NaN,NaN,NaN,NaN,107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,244,NaN,NaN,NaN,NaN,NaN,NaN,144936,105732,144936
sb_cf,fixed_packet,5,5,4,792,0.000447213595499958,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,3631587,3441643,0.947696695687037,32390,647621,0,2185729,0.952368417569716,0,NaN,0,NaN,NaN,NaN,647621,0,0,275,NaN,NaN,275,1,2,0,276,594,NaN,NaN,NaN,NaN,202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,479,NaN,NaN,NaN,NaN,NaN,NaN,379368,263376,379368
sb_cf,fixed_payload,10,10,1,198,0.00707106781186547,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1298698,1234521,0.950583584482305,920,21380,0,216170,0.958744394618834,0,NaN,0,NaN,NaN,NaN,21380,0,0,141,NaN,NaN,141,7,14,0,148,309,NaN,NaN,NaN,NaN,123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,278,NaN,NaN,NaN,NaN,NaN,NaN,55044,39654,55044
sb_cf,fixed_payload,10,5,2,396,0.00447213595499958,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1524340,1448517,0.950258472519254,1841,29364,0,182034,0.941003044383913,0,NaN,0,NaN,NaN,NaN,29364,0,0,140,NaN,NaN,140,2,4,0,140,302,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,NaN,NaN,NaN,NaN,NaN,NaN,95040,66969,95040
sb_cf,fixed_payload,10,3.33333333333333,3,594,0.005,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,8464070,5897014,0.696711392982336,2032960,3917466,0,107844,0.658350511375152,0,NaN,0,NaN,NaN,NaN,3917466,0,0,18457,NaN,NaN,18457,829,1680,0,17610,113006,NaN,NaN,NaN,NaN,111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18567,NaN,NaN,NaN,NaN,NaN,NaN,11029743,1953981,11029743
sb_cf,fixed_payload,10,2.5,4,792,0.00299069756244244,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1511621,1437225,0.950783959735939,978,26749,0,143074,0.964727521910052,0,NaN,0,NaN,NaN,NaN,26749,0,0,66,NaN,NaN,66,1,2,0,67,135,NaN,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,NaN,NaN,NaN,NaN,NaN,NaN,95040,70398,95040
