protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_payload,5,1,5,990,0.9,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,641012,606148,0.945611002602135,0,25,0,528,1,0,528,29,4,21,0,25,0,NaN,NaN,1,5,NaN,0,0,0,0,0,128,0,6,21,1,0,5120,5118,1,1,0,0,4992,4990,2,5,7,6,1053,175.5,1,1188,1188,1098,1008,1098
sb_cb,fixed_payload,5,0.833333333333333,6,1188,0.9,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,769060,732916,0.953002366525369,0,7,0,589,1,0,589,7,3,0,4,7,0,NaN,NaN,1,0,NaN,6,12,0,6,12,131,12,6,21,0,0,5240,5240,0,0,0,0,5109,5109,0,0,13,13,2304,177.230769230769,0,0,NaN,234,144,234
sb_cf,fixed_packet,10,10,1,198,0.00447213595499958,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1277195,1213131,0.949840079236139,1431,32757,0,341558,0.958143208143208,0,NaN,0,NaN,NaN,NaN,32757,0,0,128,NaN,NaN,128,1,2,0,129,260,NaN,NaN,NaN,NaN,119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,249,NaN,NaN,NaN,NaN,NaN,NaN,49302,36063,49302
sb_cf,fixed_packet,15,15,1,198,0.00447213595499958,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2162600,2052628,0.949148247479885,5235,99043,0,536894,0.949797656264984,0,NaN,0,NaN,NaN,NaN,99043,0,0,397,NaN,NaN,397,10,20,0,405,846,NaN,NaN,NaN,NaN,313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,728,NaN,NaN,NaN,NaN,NaN,NaN,144144,103734,144144
sb_cf,fixed_packet,5,5,1,198,0.0159693021024534,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,629600,599135,0.951612134688691,168,3702,0,49170,0.956589147286822,0,NaN,0,NaN,NaN,NaN,3702,0,0,67,NaN,NaN,67,3,6,0,66,139,NaN,NaN,NaN,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113,NaN,NaN,NaN,NaN,NaN,NaN,22374,16002,22374
sb_cf,fixed_packet,5,5,2,396,0.00307529122036138,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1336760,1272989,0.952294353511476,1765,26866,0,252020,0.938353532883937,0,NaN,0,NaN,NaN,NaN,26866,0,0,80,NaN,NaN,80,0,0,0,80,163,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153,NaN,NaN,NaN,NaN,NaN,NaN,60588,43686,60588
sb_cf,fixed_packet,5,5,3,594,0.00105737126344056,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2190510,2075229,0.947372529684868,6539,123041,0,726204,0.949536965581108,0,NaN,0,NaN,NaN,NaN,123041,0,0,131,NaN,NaN,131,0,0,0,131,268,NaN,NaN,NaN,NaN,112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243,NaN,NaN,NaN,NaN,NaN,NaN,144342,105579,144342
sb_cf,fixed_payload,10,10,1,198,0.00447213595499958,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1277195,1213131,0.949840079236139,1431,32757,0,341558,0.958143208143208,0,NaN,0,NaN,NaN,NaN,32757,0,0,128,NaN,NaN,128,1,2,0,129,260,NaN,NaN,NaN,NaN,119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,249,NaN,NaN,NaN,NaN,NaN,NaN,49302,36063,49302
sb_cf,fixed_payload,10,5,2,396,0.00307529122036138,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1336760,1272989,0.952294353511476,1765,26866,0,252020,0.938353532883937,0,NaN,0,NaN,NaN,NaN,26866,0,0,80,NaN,NaN,80,0,0,0,80,163,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153,NaN,NaN,NaN,NaN,NaN,NaN,60588,43686,60588
sb_cf,fixed_payload,10,3.33333333333333,3,594,0.00307529122036138,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1426145,1351266,0.947495521142661,1337,20193,0,179012,0.937900603808639,0,NaN,0,NaN,NaN,NaN,20193,0,0,64,NaN,NaN,64,2,4,0,66,144,NaN,NaN,NaN,NaN,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114,NaN,NaN,NaN,NaN,NaN,NaN,67716,46350,67716
sb_cf,fixed_payload,10,2.5,4,792,0.00211474252688113,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1530208,1452735,0.949370935193124,1047,41229,0,198657,0.975234175418677,0,NaN,0,NaN,NaN,NaN,41229,0,0,88,NaN,NaN,88,0,0,0,88,189,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145,NaN,NaN,NaN,NaN,NaN,NaN,114840,79686,114840
sb_cf,fixed_payload,10,2,5,990,0.002,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1229671,1165032,0.947433907118245,595,15591,0,147270,0.963239836896083,0,NaN,0,NaN,NaN,NaN,15591,0,0,24,NaN,NaN,24,0,0,0,24,49,NaN,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,NaN,NaN,NaN,NaN,NaN,NaN,46530,35091,46530
sb_cf,fixed_payload,10,1.66666666666667,6,1188,0.00325172456312118,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,1876202,1780517,0.949000693955129,1663,27585,0,101473,0.943141411378556,0,NaN,0,NaN,NaN,NaN,27585,0,0,86,NaN,NaN,86,0,0,0,86,180,NaN,NaN,NaN,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,145,NaN,NaN,NaN,NaN,NaN,NaN,172260,113130,172260
sb_cf,fixed_payload,15,15,1,198,0.00447213595499958,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2162600,2052628,0.949148247479885,5235,99043,0,536894,0.949797656264984,0,NaN,0,NaN,NaN,NaN,99043,0,0,397,NaN,NaN,397,10,20,0,405,846,NaN,NaN,NaN,NaN,313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,728,NaN,NaN,NaN,NaN,NaN,NaN,144144,103734,144144
sb_cf,fixed_payload,15,7.5,2,396,0.002,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2517799,2389989,0.94923740934046,6681,150057,0,702212,0.957374727251847,0,NaN,0,NaN,NaN,NaN,150057,0,0,320,NaN,NaN,320,8,16,0,324,692,NaN,NaN,NaN,NaN,242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,574,NaN,NaN,NaN,NaN,NaN,NaN,227304,161874,227304
sb_cf,fixed_payload,15,5,3,594,0.00105737126344056,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2190510,2075229,0.947372529684868,6539,123041,0,726204,0.949536965581108,0,NaN,0,NaN,NaN,NaN,123041,0,0,131,NaN,NaN,131,0,0,0,131,268,NaN,NaN,NaN,NaN,112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243,NaN,NaN,NaN,NaN,NaN,NaN,144342,105579,144342
sb_cf,fixed_payload,15,3.75,4,792,0.000876825413118452,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2088670,1986021,0.950854371442114,4789,112743,0,638574,0.959253650069768,0,NaN,0,NaN,NaN,NaN,112743,0,0,96,NaN,NaN,96,0,0,0,96,202,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,168,NaN,NaN,NaN,NaN,NaN,NaN,133056,90648,133056
sb_cf,fixed_payload,15,3,5,990,0.00105737126344056,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2481922,2360594,0.951115304993469,5992,118981,0,468148,0.952053643587015,0,NaN,0,NaN,NaN,NaN,118981,0,0,140,NaN,NaN,140,2,4,0,142,306,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,241,NaN,NaN,NaN,NaN,NaN,NaN,238590,162558,238590
sb_cf,fixed_payload,15,2.5,6,1188,0.000546872705704211,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,2313835,2196151,0.949138983548957,6210,163881,0,768021,0.963490131753003,0,NaN,0,NaN,NaN,NaN,163881,0,0,79,NaN,NaN,79,0,0,0,79,163,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144,NaN,NaN,NaN,NaN,NaN,NaN,171072,121959,171072
sb_cf,fixed_payload,5,5,1,198,0.0159693021024534,3,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,629600,599135,0.951612134688691,168,3702,0,49170,0.956589147286822,0,NaN,0,NaN,NaN,NaN,3702,0,0,67,NaN,NaN,67,3,6,0,66,139,NaN,NaN,NaN,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113,NaN,NaN,NaN,NaN,NaN,NaN,22374,16002,22374
